monotonic_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,mx_gauss,my_gauss,mz_gauss,roll_deg,pitch_deg,yaw_deg
26731.127836,0.01316,0.13400,-9.95773,-12.7925,8.8375,3.0800,-0.81635,-0.22301,1.12288,172.884,-4.764,-102.443
26731.127836,0.00598,0.12323,-10.16232,-12.9325,8.9775,3.1150,-0.81635,-0.22301,1.12288,172.885,-4.764,-102.474
26731.127836,0.00837,0.12802,-10.07259,-12.8800,9.0300,3.0800,-0.81635,-0.22301,1.12288,172.885,-4.764,-102.504
26731.127836,0.01914,0.13280,-10.11566,-12.8450,8.9950,3.1500,-0.81635,-0.22301,1.12288,172.886,-4.766,-102.534
26731.127836,0.01795,0.13759,-10.04627,-12.7925,8.9600,3.0625,-0.81635,-0.22301,1.12288,172.886,-4.767,-102.564
26731.127836,0.00837,0.12562,-10.10728,-12.8975,8.9075,3.0975,-0.81635,-0.22301,1.12288,172.887,-4.766,-102.595
26731.127836,0.01316,0.12682,-10.07378,-12.8625,9.0475,3.0275,-0.81896,-0.22765,1.11911,172.887,-4.767,-102.624
26731.127836,0.00957,0.12443,-10.08814,-12.9325,8.8375,3.0800,-0.81896,-0.22765,1.11911,172.888,-4.765,-102.654
26731.127836,0.01077,0.13161,-10.04627,-13.0200,8.8200,3.0800,-0.81896,-0.22765,1.11911,172.886,-4.764,-102.685
26731.127836,0.01795,0.13400,-10.18385,-12.8100,8.8900,3.1150,-0.81896,-0.22765,1.11911,172.887,-4.764,-102.715
26731.225752,0.00957,0.13998,-10.00798,-12.8450,8.9600,3.0800,-0.81896,-0.22765,1.11911,172.886,-4.764,-102.745
26731.225752,0.00957,0.13041,-10.13001,-12.9150,8.9425,3.0275,-0.81896,-0.22765,1.11911,172.886,-4.764,-102.775
26731.225752,0.00837,0.12323,-10.09651,-12.9150,8.9250,3.0800,-0.81896,-0.22765,1.11911,172.887,-4.763,-102.805
26731.225752,0.01316,0.12323,-10.06660,-12.8450,8.8900,3.0625,-0.81896,-0.22765,1.11911,172.888,-4.763,-102.835
26731.225752,0.01077,0.12562,-10.06421,-12.9150,8.9250,3.0450,-0.81896,-0.22765,1.11911,172.888,-4.762,-102.865
