monotonic_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,mx_gauss,my_gauss,mz_gauss,roll_deg,pitch_deg,yaw_deg
26936.073880,0.01555,0.12443,-10.08335,-12.8625,8.9600,3.0800,-0.81867,-0.22765,1.12897,-107.597,39.942,-46.994
26936.178440,0.00598,0.13400,-10.08096,-12.8800,8.8900,3.1150,-0.81867,-0.22765,1.12897,-109.233,39.720,-48.032
26936.178440,0.00718,0.13041,-10.09412,-12.9675,8.9425,3.0975,-0.81867,-0.22765,1.12897,-110.851,39.475,-49.053
26936.178440,0.00957,0.13519,-10.08335,-12.9850,8.9250,3.1325,-0.81867,-0.22765,1.12897,-112.450,39.210,-50.057
26936.178440,0.00957,0.12323,-10.08335,-12.8975,8.8375,3.0625,-0.81867,-0.22765,1.12897,-114.025,38.925,-51.040
26936.178440,0.01316,0.12802,-10.09173,-12.9675,8.8375,3.0100,-0.81867,-0.22765,1.12897,-115.578,38.620,-52.004
26936.178440,0.01436,0.12084,-10.08216,-12.9325,8.9250,3.0450,-0.81867,-0.22765,1.12897,-117.109,38.296,-52.948
26936.178440,0.01675,0.12562,-10.08096,-12.9850,8.8550,3.0975,-0.81867,-0.22765,1.12897,-118.615,37.955,-53.871
26936.178440,0.01316,0.12562,-10.08096,-12.9675,8.9250,3.0450,-0.81867,-0.22765,1.12897,-120.098,37.599,-54.772
26936.178440,0.01436,0.12921,-10.09053,-12.8975,8.9075,3.0275,-0.81664,-0.22649,1.11998,-121.553,37.226,-55.651
26936.178440,0.00837,0.13400,-10.09053,-12.8450,8.8025,2.9400,-0.81664,-0.22649,1.11998,-122.982,36.840,-56.506
26936.279355,0.00718,0.13639,-10.08814,-13.0375,8.9250,3.0975,-0.81664,-0.22649,1.11998,-124.388,36.442,-57.341
26936.279355,0.00718,0.13400,-10.09053,-12.9850,8.9950,3.0100,-0.81664,-0.22649,1.11998,-125.767,36.030,-58.152
26936.279355,0.01077,0.12802,-10.08335,-13.0375,8.8550,2.9925,-0.81664,-0.22649,1.11998,-127.118,35.606,-58.938
26936.279355,0.00718,0.12921,-10.08216,-12.9850,8.9950,3.0275,-0.81664,-0.22649,1.11998,-128.442,35.171,-59.702
26936.279355,0.01555,0.12203,-10.08096,-12.8450,9.0650,3.0275,-0.81664,-0.22649,1.11998,-129.738,34.725,-60.444
26936.279355,0.01196,0.12562,-10.07857,-12.9675,9.0300,3.0450,-0.81664,-0.22649,1.11998,-131.008,34.271,-61.163
26936.279355,0.01196,0.12443,-10.07737,-13.0375,8.9775,3.0275,-0.81664,-0.22649,1.11998,-132.252,33.809,-61.858
26936.279355,0.00957,0.12562,-10.07857,-13.0550,8.9425,3.0275,-0.81664,-0.22649,1.11998,-133.469,33.341,-62.530
26936.279355,0.00598,0.12203,-10.08575,-12.9325,9.0125,3.0100,-0.82128,-0.22794,1.13245,-134.658,32.865,-63.180
26936.279355,0.00837,0.13400,-10.07977,-12.9500,9.0475,3.0800,-0.82128,-0.22794,1.13245,-135.822,32.385,-63.810
26936.382414,0.00598,0.12562,-10.07618,-12.9325,8.9775,3.0275,-0.82128,-0.22794,1.13245,-136.959,31.900,-64.417
26936.382414,0.00957,0.13759,-10.08694,-13.0550,8.8375,3.0275,-0.82128,-0.22794,1.13245,-138.073,31.413,-65.002
26936.382414,0.01436,0.13041,-10.08216,-12.9325,8.9075,2.9225,-0.82128,-0.22794,1.13245,-139.158,30.919,-65.566
26936.382414,0.01555,0.12682,-10.09891,-12.8450,8.9250,2.8875,-0.82128,-0.22794,1.13245,-140.218,30.423,-66.109
26936.382414,0.01077,0.12323,-10.08575,-13.0375,8.9425,3.0100,-0.82128,-0.22794,1.13245,-141.256,29.926,-66.634
26936.382414,0.01316,0.12203,-10.09173,-13.1775,8.9950,3.0975,-0.82128,-0.22794,1.13245,-142.271,29.427,-67.141
26936.382414,0.00957,0.12443,-10.08694,-12.9850,8.9075,3.0625,-0.82128,-0.22794,1.13245,-143.261,28.928,-67.628
26936.382414,0.00957,0.12203,-10.09891,-12.9150,8.9075,3.0275,-0.82128,-0.22794,1.13245,-144.227,28.429,-68.097
26936.382414,0.00598,0.12562,-10.08934,-13.0375,8.8550,2.9575,-0.82157,-0.22852,1.11853,-145.171,27.931,-68.548
26936.382414,0.00598,0.12921,-10.08335,-12.8800,8.7675,2.9750,-0.82157,-0.22852,1.11853,-146.092,27.434,-68.981
26936.492812,0.00718,0.13161,-10.08694,-12.9850,8.9250,3.0800,-0.82157,-0.22852,1.11853,-146.994,26.937,-69.400
26936.492812,0.00957,0.12682,-10.08216,-12.9150,8.9425,3.0625,-0.82157,-0.22852,1.11853,-147.873,26.442,-69.803
26936.492812,0.01555,0.13041,-10.09891,-12.9850,8.9250,3.0800,-0.82157,-0.22852,1.11853,-148.733,25.949,-70.190
26936.492812,0.01555,0.12802,-10.08934,-13.0025,8.8725,3.0275,-0.82157,-0.22852,1.11853,-149.573,25.458,-70.562
26936.492812,0.00837,0.12921,-10.08455,-12.8625,8.9250,2.9225,-0.82157,-0.22852,1.11853,-150.391,24.969,-70.919
26936.492812,0.00718,0.13041,-10.09293,-12.9325,8.8200,3.0450,-0.82157,-0.22852,1.11853,-151.191,24.486,-71.262
26936.492812,0.00718,0.12443,-10.08335,-13.0025,8.9250,3.0100,-0.82157,-0.22852,1.11853,-151.972,24.004,-71.592
26936.492812,0.00598,0.12802,-10.08216,-13.0375,9.0650,3.0800,-0.82157,-0.22852,1.11853,-152.737,23.526,-71.911
26936.492812,0.00718,0.13041,-10.07498,-13.0375,9.0300,3.0275,-0.82128,-0.22388,1.12810,-153.484,23.051,-72.217
26936.492812,0.01316,0.13759,-10.08814,-12.8625,8.8900,3.0800,-0.82128,-0.22388,1.12810,-154.212,22.582,-72.511
26936.573819,0.01436,0.13041,-10.07977,-13.0375,8.8550,3.0975,-0.82128,-0.22388,1.12810,-154.924,22.117,-72.793
26936.573819,0.01196,0.11605,-10.08694,-12.8975,8.8375,3.0975,-0.82128,-0.22388,1.12810,-155.617,21.657,-73.063
26936.573819,0.01316,0.12682,-10.09293,-12.8450,8.9600,3.0625,-0.82128,-0.22388,1.12810,-156.295,21.201,-73.324
26936.573819,0.01316,0.11725,-10.08335,-12.9325,8.9250,3.0100,-0.82128,-0.22388,1.12810,-156.957,20.749,-73.573
26936.573819,0.01196,0.12802,-10.08096,-12.8450,8.9075,3.0450,-0.82128,-0.22388,1.12810,-157.603,20.303,-73.813
26936.573819,0.01077,0.12921,-10.08335,-12.9325,8.8725,3.0625,-0.82128,-0.22388,1.12810,-158.236,19.863,-74.043
26936.573819,0.01077,0.12443,-10.08694,-13.0725,9.0125,3.0625,-0.82128,-0.22388,1.12810,-158.856,19.427,-74.265
26936.573819,0.00837,0.13519,-10.08934,-12.9500,8.9075,3.1500,-0.82128,-0.22388,1.12810,-159.461,18.998,-74.480
26936.573819,0.00718,0.12802,-10.08335,-13.0200,8.9600,3.1675,-0.82389,-0.22649,1.12781,-160.053,18.574,-74.685
26936.573819,0.01316,0.13280,-10.09293,-13.1600,8.9075,3.1675,-0.82389,-0.22649,1.12781,-160.633,18.155,-74.883
26936.674742,0.00837,0.13639,-10.09293,-13.0200,8.9250,3.0275,-0.82389,-0.22649,1.12781,-161.199,17.742,-75.072
26936.674742,0.01795,0.12802,-10.09053,-12.9675,8.8900,3.0275,-0.82389,-0.22649,1.12781,-161.750,17.334,-75.253
26936.674742,0.01316,0.12443,-10.09412,-12.9325,8.9600,2.9225,-0.82389,-0.22649,1.12781,-162.288,16.931,-75.427
26936.674742,0.01196,0.12682,-10.07977,-13.0025,8.8025,3.0975,-0.82389,-0.22649,1.12781,-162.816,16.536,-75.594
26936.674742,0.00837,0.12921,-10.07857,-13.0025,8.9600,3.0975,-0.82389,-0.22649,1.12781,-163.332,16.145,-75.756
26936.674742,0.00598,0.12921,-10.08694,-13.0200,8.9425,3.0450,-0.82389,-0.22649,1.12781,-163.836,15.761,-75.911
26936.674742,0.00718,0.13041,-10.08694,-13.0900,8.8900,3.0275,-0.82389,-0.22649,1.12781,-164.330,15.383,-76.060
26936.674742,0.00957,0.12443,-10.08814,-13.0375,8.8375,3.0450,-0.82389,-0.22649,1.12781,-164.812,15.011,-76.203
26936.674742,0.00837,0.12921,-10.08934,-12.9150,8.9425,3.0975,-0.82273,-0.23171,1.11737,-165.282,14.644,-76.341
